name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L4X4X3/4X3/4|37.0|37.0|10.9|4.00|4.00|0.750|1.27|0.680|15.2|10.0|5.58|1.18|44.9|17.9|10.3|2.03|2.51|0.874
2L4X4X5/8|31.4|31.4|9.22|4.00|4.00|0.625|1.22|0.576|13.2|8.56|4.76|1.20|27.0|11.2|6.75|1.71|2.28|0.841
2L4X4X5/8X3/8|31.4|31.4|9.22|4.00|4.00|0.625|1.22|0.576|13.2|8.56|4.76|1.20|31.6|13.0|7.55|1.85|2.39|0.854
2L4X4X5/8X3/4|31.4|31.4|9.22|4.00|4.00|0.625|1.22|0.576|13.2|8.56|4.76|1.20|36.9|14.7|8.43|2.00|2.50|0.868
2L4X4X1/2|25.6|25.6|7.50|4.00|4.00|0.500|1.18|0.469|11.0|7.00|3.92|1.21|21.4|8.85|5.35|1.69|2.28|0.834
2L4X4X1/2X3/8|25.6|25.6|7.50|4.00|4.00|0.500|1.18|0.469|11.0|7.00|3.92|1.21|25.1|10.3|5.99|1.83|2.38|0.848
2L4X4X1/2X3/4|25.6|25.6|7.50|4.00|4.00|0.500|1.18|0.469|11.0|7.00|3.92|1.21|29.1|11.7|6.65|1.97|2.49|0.862
2L4X4X7/16|22.6|22.6|6.60|4.00|4.00|0.438|1.15|0.413|9.86|6.20|3.46|1.22|18.6|7.59|4.65|1.68|2.28|0.832
2L4X4X7/16X3/8|22.6|22.6|6.60|4.00|4.00|0.438|1.15|0.413|9.86|6.20|3.46|1.22|21.6|8.83|5.16|1.81|2.38|0.846
2L4X4X7/16X3/4|22.6|22.6|6.60|4.00|4.00|0.438|1.15|0.413|9.86|6.20|3.46|1.22|25.4|10.1|5.81|1.96|2.49|0.859
2L4X4X3/8|19.6|19.6|5.72|4.00|4.00|0.375|1.13|0.358|8.64|5.38|3.00|1.23|16.0|6.46|4.00|1.67|2.28|0.829
2L4X4X3/8X3/8|19.6|19.6|5.72|4.00|4.00|0.375|1.13|0.358|8.64|5.38|3.00|1.23|18.5|7.54|4.42|1.80|2.38|0.843
2L4X4X3/8X3/4|19.6|19.6|5.72|4.00|4.00|0.375|1.13|0.358|8.64|5.38|3.00|1.23|21.5|8.61|4.91|1.94|2.49|0.856
2L4X4X5/16|16.4|16.4|4.80|4.00|4.00|0.313|1.11|0.300|7.34|4.52|2.54|1.24|13.2|5.33|3.30|1.66|2.28|0.826
2L4X4X5/16X3/8|16.4|16.4|4.80|4.00|4.00|0.313|1.11|0.300|7.34|4.52|2.54|1.24|15.4|6.23|3.68|1.79|2.37|0.840
2L4X4X5/16X3/4|16.4|16.4|4.80|4.00|4.00|0.313|1.11|0.300|7.34|4.52|2.54|1.24|17.9|7.13|4.09|1.93|2.48|0.854
2L4X4X1/4|13.2|13.2|3.86|4.00|4.00|0.250|1.08|0.241|6.00|3.64|2.06|1.25|10.5|4.17|2.62|1.65|2.28|0.824
2L4X4X1/4X3/8|13.2|13.2|3.86|4.00|4.00|0.250|1.08|0.241|6.00|3.64|2.06|1.25|12.2|4.89|2.91|1.78|2.37|0.838
2L4X4X1/4X3/4|13.2|13.2|3.86|4.00|4.00|0.250|1.08|0.241|6.00|3.64|2.06|1.25|14.1|5.62|3.22|1.91|2.48|0.851
2L3-1/2X3-1/2X1/2|22.2|22.2|6.50|3.50|3.50|0.500|1.05|0.464|7.26|5.32|2.96|1.05|14.4|6.82|4.11|1.49|1.99|0.838
