name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W40X324|324|324|95.3|40.2|15.9|1.00|1.81|2.99|25600|1460|1280|16.4|1220|239|153|3.58|79.4|448000|153|1100|259|720|4.27|34|7.5
W40X297|297|297|87.3|39.8|15.8|0.930|1.65|2.83|23200|1330|1170|16.3|1090|215|138|3.54|61.2|399000|151|982|234|652|4.22|34|7.5
W40X277|277|277|81.5|39.7|15.8|0.830|1.58|2.76|21900|1250|1100|16.4|1040|204|132|3.58|51.5|379000|151|940|225|614|4.25|34|7.5
W40X249|249|249|73.5|39.4|15.8|0.750|1.42|2.60|19600|1120|993|16.3|926|182|118|3.55|38.1|334000|150|841|203|551|4.21|34|7.5
W40X215|215|215|63.5|39.0|15.8|0.650|1.22|2.40|16700|964|859|16.2|803|156|101|3.54|24.8|284000|149|719|175|473|4.19|34|7.5
W40X199|199|199|58.8|38.7|15.8|0.650|1.07|2.25|14900|869|770|16.0|695|137|88.2|3.45|18.3|246000|149|628|153|427|4.12|34|7.5
W40X392|392|392|116|41.6|12.4|1.42|2.52|3.70|29900|1710|1440|16.1|803|212|130|2.64|172|306000|121|946|270|848|3.30|34|7.5
W40X331|331|331|97.7|40.8|12.2|1.22|2.13|3.31|24700|1430|1210|15.9|644|172|106|2.57|105|241000|118|766|226|706|3.21|34|7.5
W40X327|327|327|95.9|40.8|12.1|1.18|2.13|3.31|24500|1410|1200|16.0|640|170|105|2.58|103|239000|117|754|225|695|3.21|34|7.5
W40X294|294|294|86.2|40.4|12.0|1.06|1.93|3.11|21900|1270|1080|15.9|562|150|93.5|2.55|76.6|208000|115|668|203|622|3.16|34|7.5
W40X278|278|278|82.3|40.2|12.0|1.03|1.81|2.99|20500|1190|1020|15.8|521|140|87.1|2.52|65.0|192000|115|622|190|587|3.13|34|7.5
W40X264|264|264|77.4|40.0|11.9|0.960|1.73|2.91|19400|1130|971|15.8|493|132|82.6|2.52|56.1|181000|114|589|182|555|3.12|34|7.5
W40X235|235|235|69.1|39.7|11.9|0.830|1.58|2.76|17400|1010|875|15.9|444|118|74.6|2.54|41.3|161000|113|530|166|495|3.11|34|7.5
W40X211|211|211|62.1|39.4|11.8|0.750|1.42|2.60|15500|906|786|15.8|390|105|66.1|2.51|30.4|141000|112|468|148|442|3.07|34|7.5
W40X183|183|183|53.3|39.0|11.8|0.650|1.20|2.38|13200|774|675|15.7|331|88.3|56.0|2.49|19.3|118000|112|395|126|376|3.04|34|7.5
W40X167|167|167|49.3|38.6|11.8|0.650|1.03|2.21|11600|693|600|15.3|283|76.0|47.9|2.40|14.0|99700|111|336|107|336|2.98|34|7.5
W40X149|149|149|43.8|38.2|11.8|0.630|0.830|2.01|9800|598|513|15.0|229|62.2|38.8|2.29|9.36|80000|110|270|86.7|288|2.89|34|7.5
W36X925|925|925|272|43.1|18.6|3.02|4.53|5.28|73000|4130|3390|16.4|4940|862|531|4.26|1430|1840000|179|3780|681|2060|5.30|32.375|7.5
W36X853|853|853|251|43.1|18.2|2.52|4.53|5.28|70000|3920|3250|16.7|4600|805|505|4.28|1240|1710000|175|3620|685|1950|5.22|32.375|7.5
W36X802|802|802|236|42.6|18.0|2.38|4.29|5.04|64800|3660|3040|16.6|4210|744|468|4.22|1050|1540000|172|3330|642|1820|5.15|32.375|7.5
W36X723|723|723|213|41.8|17.8|2.17|3.90|4.65|57300|3270|2740|16.4|3700|658|416|4.17|785|1330000|169|2930|578|1630|5.06|32.375|7.5
W36X652|652|652|192|41.1|17.6|1.97|3.54|4.49|50600|2910|2460|16.2|3230|581|367|4.10|593|1130000|165|2560|518|1450|4.96|31.375|7.5
W36X529|529|529|156|39.8|17.2|1.61|2.91|3.86|39600|2330|1990|16.0|2490|454|289|4.00|327|846000|159|1990|419|1160|4.80|31.375|7.5
W36X487|487|487|143|39.3|17.1|1.50|2.68|3.63|36000|2130|1830|15.8|2250|412|263|3.96|258|754000|157|1800|383|1060|4.74|31.375|7.5
W36X441|441|441|130|38.9|17.0|1.36|2.44|3.39|32100|1910|1650|15.7|1990|368|235|3.92|194|661000|154|1600|347|950|4.69|31.375|7.5
W36X395|395|395|116|38.4|16.8|1.22|2.20|3.15|28500|1710|1490|15.7|1750|325|208|3.88|142|575000|152|1410|311|847|4.61|31.375|7.5
W36X361|361|361|106|38.0|16.7|1.12|2.01|2.96|25700|1550|1350|15.6|1570|293|188|3.85|109|509000|150|1270|282|767|4.58|31.375|7.5
W36X330|330|330|96.9|37.7|16.6|1.02|1.85|2.80|23300|1410|1240|15.5|1420|265|171|3.83|84.3|456000|149|1150|259|698|4.53|31.375|7.5
W36X302|302|302|89.0|37.3|16.7|0.945|1.68|2.63|21100|1280|1130|15.4|1300|241|156|3.82|64.3|412000|148|1040|235|635|4.53|31.375|7.5
W36X282|282|282|82.9|37.1|16.6|0.885|1.57|2.52|19600|1190|1050|15.4|1200|223|144|3.80|52.7|378000|147|960|219|591|4.50|31.375|7.5
W36X262|262|262|77.2|36.9|16.6|0.840|1.44|2.39|17900|1100|972|15.3|1090|204|132|3.76|41.6|342000|147|873|200|543|4.46|31.375|7.5
W36X247|247|247|72.5|36.7|16.5|0.800|1.35|2.30|16700|1030|913|15.2|1010|190|123|3.74|34.7|316000|146|812|187|509|4.42|31.375|7.5
W36X231|231|231|68.2|36.5|16.5|0.760|1.26|2.21|15600|963|854|15.1|940|176|114|3.71|28.7|292000|145|756|175|476|4.40|31.375|7.5
W36X256|256|256|75.3|37.4|12.2|0.960|1.73|2.48|16800|1040|895|14.9|528|137|86.5|2.65|52.9|168000|109|576|174|516|3.24|31.5|5.5
W36X232|232|232|68.0|37.1|12.1|0.870|1.57|2.32|15000|936|809|14.8|468|122|77.2|2.62|39.6|148000|108|512|157|464|3.21|31.5|5.5
W36X210|210|210|61.9|36.7|12.2|0.830|1.36|2.11|13200|833|719|14.6|411|107|67.5|2.58|28.0|128000|108|446|136|412|3.18|31.5|5.5
