name|weight|mass|A|OD|tnom|tdes|I|Z|S|r|J
  |lbf/ft|lbm/ft|in²|in|in|in|in⁴|in³|in³|in|in⁴
Pipe3-1/2STD|9.12|9.12|2.5|4|0.226|0.211|4.52|3.03|2.26|1.34|9.04
Pipe3STD|7.58|7.58|2.07|3.5|0.216|0.201|2.85|2.19|1.63|1.17|5.69
Pipe2-1/2STD|5.8|5.8|1.61|2.875|0.203|0.189|1.45|1.37|1.01|0.952|2.89
Pipe2STD|3.66|3.66|1.02|2.375|0.154|0.143|0.627|0.713|0.528|0.791|1.25
Pipe1-1/2STD|2.72|2.72|0.749|1.9|0.145|0.135|0.293|0.421|0.309|0.626|0.586
Pipe1-1/4STD|2.27|2.27|0.625|1.66|0.14|0.13|0.184|0.305|0.222|0.543|0.368
Pipe1STD|1.68|1.68|0.469|1.315|0.133|0.124|0.083|0.177|0.126|0.423|0.166
Pipe3/4STD|1.13|1.13|0.312|1.05|0.113|0.105|0.035|0.0942|0.0671|0.336|0.07
Pipe1/2STD|0.85|0.85|0.234|0.84|0.109|0.101|0.016|0.0555|0.0388|0.264|0.032
Pipe26XS|136|136|36.1|26|0.5|0.465|2950|294|227|9.03|5900
Pipe24XS|126|126|33.3|24|0.5|0.465|2310|250|192|8.33|4620
Pipe20XS|104|104|27.6|20|0.5|0.465|1320|172|132|6.91|2640
Pipe18XS|93.5|93.5|24.8|18|0.5|0.465|956|139|106|6.21|1910
Pipe16XS|82.9|82.9|22|16|0.5|0.465|665|109|83.1|5.5|1330
Pipe14XS|72.2|72.2|19.2|14|0.5|0.465|440|82.7|62.9|4.79|880
Pipe12XS|65.5|65.5|17.5|12.75|0.5|0.465|339|70.2|53.2|4.35|678
Pipe10XS|54.8|54.8|15.1|10.75|0.5|0.465|199|49.2|37|3.64|398
Pipe8XS|43.4|43.4|11.9|8.625|0.5|0.465|100|31|23.1|2.89|199
Pipe6XS|28.6|28.6|7.83|6.625|0.432|0.403|38.3|15.6|11.6|2.2|76.6
Pipe5XS|20.8|20.8|5.73|5.563|0.375|0.349|19.5|9.5|7.02|1.85|39
Pipe4XS|15|15|4.14|4.5|0.337|0.315|9.12|5.53|4.05|1.48|18.2
Pipe3-1/2XS|12.5|12.5|3.43|4|0.318|0.296|5.94|4.07|2.97|1.31|11.9
Pipe3XS|10.3|10.3|2.83|3.5|0.3|0.28|3.7|2.91|2.11|1.14|7.4
Pipe2-1/2XS|7.67|7.67|2.1|2.875|0.276|0.257|1.83|1.77|1.27|0.93|3.66
Pipe2XS|5.03|5.03|1.4|2.375|0.218|0.204|0.827|0.964|0.696|0.771|1.65
Pipe1-1/2XS|3.63|3.63|1|1.9|0.2|0.186|0.372|0.549|0.392|0.61|0.744
Pipe1-1/4XS|3|3|0.837|1.66|0.191|0.178|0.231|0.393|0.278|0.528|0.462
Pipe1XS|2.17|2.17|0.602|1.315|0.179|0.166|0.101|0.221|0.154|0.41|0.202
Pipe3/4XS|1.48|1.48|0.407|1.05|0.154|0.143|0.043|0.119|0.0818|0.325|0.086
Pipe1/2XS|1.09|1.09|0.303|0.84|0.147|0.137|0.019|0.0686|0.0462|0.253|0.038
Pipe12XXS|126|126|35.4|12.75|1|0.93|625|134|97.6|4.2|1250
Pipe10XXS|104|104|28.8|10.75|1|0.93|354|90.9|65.6|3.51|709
Pipe8XXS|72.5|72.5|20|8.625|0.875|0.816|154|49.9|35.8|2.78|308
Pipe6XXS|53.2|53.2|14.7|6.625|0.864|0.805|63.5|27.4|19.2|2.08|127
Pipe5XXS|38.6|38.6|10.7|5.563|0.75|0.699|32.2|16.7|11.6|1.74|64.4
Pipe4XXS|27.6|27.6|7.66|4.5|0.674|0.628|14.7|9.5|6.53|1.39|29.4
Pipe3XXS|18.6|18.6|5.17|3.5|0.6|0.559|5.79|4.89|3.31|1.06|11.6
Pipe2-1/2XXS|13.7|13.7|3.83|2.875|0.552|0.514|2.78|2.91|1.94|0.854|5.56
Pipe2XXS|9.04|9.04|2.51|2.375|0.436|0.406|1.27|1.6|1.07|0.711|2.54
