name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
  |lbf/ft|lbm/ft|in²|in|in|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in||in
WT9X105.5|105.5|105.5|31.2|10.3|11.6|1.06|1.91|2.31|2.44|1.34|229|55|29.1|2.72|246|66.1|42.7|2.82|29.1|102|4.19|0.874|5.5
WT9X96|96|96|28.1|10.2|11.5|0.96|1.75|2.15|2.34|1.23|202|48.5|25.8|2.68|220|59.4|38.4|2.79|22.3|75.7|4.13|0.875|5.5
WT9X87.5|87.5|87.5|25.7|10|11.4|0.89|1.59|1.99|2.26|1.13|181|43.6|23.4|2.66|196|53.1|34.4|2.76|16.8|56.5|4.1|0.872|5.5
WT9X79|79|79|23.2|9.86|11.3|0.81|1.44|1.84|2.17|1.02|160|38.5|20.8|2.63|174|47.4|30.7|2.74|12.5|41.2|4.06|0.872|5.5
WT9X71.5|71.5|71.5|21|9.75|11.2|0.73|1.32|1.72|2.09|0.937|142|34|18.5|2.6|156|42.7|27.7|2.72|9.58|30.7|4.02|0.874|5.5
WT9X65|65|65|19.2|9.63|11.2|0.67|1.2|1.6|2.02|0.856|127|30.5|16.7|2.58|139|38.3|24.9|2.7|7.23|22.8|4|0.873|5.5
WT9X59.5|59.5|59.5|17.6|9.49|11.3|0.655|1.06|1.46|2.03|0.778|119|28.7|15.9|2.6|126|34.5|22.5|2.69|5.3|17.4|4.03|0.862|5.5
WT9X53|53|53|15.6|9.37|11.2|0.59|0.94|1.34|1.97|0.695|104|25.2|14.1|2.59|110|30.2|19.7|2.66|3.73|12.1|4|0.86|5.5
WT9X48.5|48.5|48.5|14.2|9.3|11.1|0.535|0.87|1.27|1.91|0.64|93.8|22.6|12.7|2.56|100|27.6|18|2.65|2.92|9.29|3.97|0.863|5.5
WT9X43|43|43|12.7|9.2|11.1|0.48|0.77|1.17|1.86|0.57|82.4|19.9|11.2|2.55|87.6|24.2|15.8|2.63|2.04|6.42|3.95|0.861|5.5
WT9X38|38|38|11.1|9.11|11|0.425|0.68|1.08|1.8|0.505|71.8|17.3|9.83|2.54|76.2|21.1|13.8|2.61|1.41|4.37|3.93|0.861|5.5
WT9X35.5|35.5|35.5|10.4|9.24|7.64|0.495|0.81|1.21|2.26|0.683|78.2|20|11.2|2.74|30.1|12.3|7.89|1.7|1.74|3.96|3.72|0.752|3.5
WT9X32.5|32.5|32.5|9.55|9.18|7.59|0.45|0.75|1.15|2.2|0.629|70.7|18|10.1|2.72|27.4|11.2|7.22|1.69|1.36|3.01|3.69|0.755|3.5
WT9X30|30|30|8.82|9.12|7.56|0.415|0.695|1.1|2.16|0.583|64.7|16.5|9.29|2.71|25|10.3|6.63|1.68|1.08|2.35|3.67|0.756|3.5
WT9X27.5|27.5|27.5|8.1|9.06|7.53|0.39|0.63|1.03|2.16|0.538|59.5|15.3|8.63|2.71|22.5|9.26|5.97|1.67|0.83|1.84|3.68|0.749|3.5
WT9X25|25|25|7.34|9|7.5|0.355|0.57|0.972|2.12|0.489|53.5|13.8|7.79|2.7|20|8.28|5.35|1.65|0.619|1.36|3.66|0.748|3.5
WT9X23|23|23|6.77|9.03|6.06|0.36|0.605|1.01|2.33|0.558|52.1|13.9|7.77|2.77|11.3|5.84|3.71|1.29|0.609|1.2|3.67|0.695|3.5
WT9X20|20|20|5.88|8.95|6.02|0.315|0.525|0.927|2.29|0.489|44.8|12|6.73|2.76|9.55|4.97|3.17|1.27|0.404|0.788|3.65|0.693|3.5
WT9X17.5|17.5|17.5|5.15|8.85|6|0.3|0.425|0.827|2.39|0.45|40.1|11.2|6.21|2.79|7.67|4.02|2.56|1.22|0.252|0.598|3.74|0.662|3.5
WT8X50|50|50|14.7|8.49|10.4|0.585|0.985|1.39|1.76|0.706|76.8|20.7|11.4|2.28|93.1|27.4|17.9|2.51|3.85|10.4|3.63|0.878|5.5
WT8X44.5|44.5|44.5|13.1|8.38|10.4|0.525|0.875|1.28|1.7|0.631|67.2|18.1|10.1|2.27|81.3|24|15.7|2.49|2.72|7.19|3.6|0.877|5.5
WT8X38.5|38.5|38.5|11.3|8.26|10.3|0.455|0.76|1.16|1.63|0.549|56.9|15.3|8.59|2.24|69.2|20.5|13.4|2.47|1.78|4.61|3.57|0.877|5.5
WT8X33.5|33.5|33.5|9.81|8.17|10.2|0.395|0.665|1.07|1.56|0.481|48.6|13|7.36|2.22|59.5|17.7|11.6|2.46|1.19|3.01|3.54|0.879|5.5
WT8X28.5|28.5|28.5|8.39|8.22|7.12|0.43|0.715|1.12|1.94|0.589|48.7|13.8|7.77|2.41|21.6|9.42|6.06|1.6|1.1|1.99|3.3|0.77|3.5
WT8X25|25|25|7.37|8.13|7.07|0.38|0.63|1.03|1.89|0.521|42.3|12|6.78|2.4|18.6|8.15|5.26|1.59|0.76|1.34|3.28|0.769|3.5
WT8X22.5|22.5|22.5|6.63|8.07|7.04|0.345|0.565|0.967|1.86|0.471|37.8|10.8|6.1|2.39|16.4|7.22|4.67|1.57|0.555|0.974|3.27|0.767|3.5
WT8X20|20|20|5.89|8.01|7|0.305|0.505|0.907|1.81|0.421|33.1|9.43|5.35|2.37|14.4|6.36|4.12|1.56|0.396|0.673|3.24|0.769|3.5
WT8X18|18|18|5.29|7.93|6.99|0.295|0.43|0.832|1.88|0.378|30.6|8.93|5.05|2.41|12.2|5.42|3.5|1.52|0.272|0.516|3.3|0.745|3.5
WT8X15.5|15.5|15.5|4.56|7.94|5.53|0.275|0.44|0.842|2.02|0.413|27.5|8.27|4.64|2.45|6.2|3.51|2.24|1.17|0.23|0.366|3.26|0.695|3.5
WT8X13|13|13|3.84|7.85|5.5|0.25|0.345|0.747|2.09|0.372|23.5|7.36|4.09|2.47|4.79|2.73|1.74|1.12|0.13|0.243|3.32|0.667|3.5
WT7X436.5|436.5|436.5|129|11.8|18.8|3.94|5.51|6.1|3.88|3.43|1040|281|131|2.84|3080|511|328|4.89|1110|8980|5.76|0.962|8.5
WT7X404|404|404|119|11.4|18.6|3.74|5.12|5.71|3.69|3.2|898|249|116|2.75|2770|465|298|4.82|898|7000|5.67|0.96|8.5
WT7X365|365|365|107|11.2|17.9|3.07|4.91|5.51|3.47|3|739|211|95.4|2.62|2360|408|264|4.69|714|5250|5.47|0.966|7.5
WT7X332.5|332.5|332.5|97.8|10.8|17.7|2.83|4.52|5.12|3.25|2.77|622|182|82.1|2.52|2080|365|236|4.62|555|3920|5.35|0.966|7.5
WT7X302.5|302.5|302.5|89|10.5|17.4|2.6|4.16|4.76|3.05|2.55|524|157|70.6|2.43|1840|326|211|4.55|430|2930|5.24|0.966|7.5
WT7X275|275|275|80.9|10.1|17.2|2.38|3.82|4.42|2.85|2.35|442|136|60.9|2.34|1630|292|189|4.49|331|2180|5.15|0.966|7.5
WT7X250|250|250|73.5|9.8|17|2.19|3.5|4.1|2.67|2.16|375|117|52.7|2.26|1440|261|169|4.43|254|1620|5.06|0.967|7.5
WT7X227.5|227.5|227.5|66.9|9.51|16.8|2.02|3.21|3.81|2.51|1.99|321|102|45.9|2.19|1280|234|152|4.38|196|1210|4.98|0.967|7.5
WT7X213|213|213|62.7|9.34|16.7|1.88|3.04|3.63|2.4|1.88|287|91.7|41.4|2.14|1180|217|141|4.34|164|991|4.92|0.968|7.5
WT7X199|199|199|58.4|9.15|16.6|1.77|2.85|3.44|2.3|1.76|257|82.9|37.6|2.1|1090|201|131|4.31|135|801|4.87|0.968|7.5
WT7X185|185|185|54.4|8.96|16.5|1.66|2.66|3.26|2.19|1.65|229|74.4|33.9|2.05|994|185|121|4.27|110|640|4.82|0.968|7.5
WT7X171|171|171|50.3|8.77|16.4|1.54|2.47|3.07|2.09|1.54|203|66.2|30.4|2.01|903|169|110|4.24|88.3|502|4.77|0.968|7.5
WT7X155.5|155.5|155.5|45.7|8.56|16.2|1.41|2.26|2.86|1.97|1.41|176|57.7|26.7|1.96|807|152|99.4|4.2|67.5|375|4.71|0.969|7.5
WT7X141.5|141.5|141.5|41.6|8.37|16.1|1.29|2.07|2.67|1.86|1.29|153|50.4|23.5|1.92|722|137|89.7|4.17|51.8|281|4.66|0.969|7.5
WT7X128.5|128.5|128.5|37.8|8.19|16|1.18|1.89|2.49|1.75|1.18|133|43.9|20.7|1.88|645|123|80.7|4.13|39.3|209|4.61|0.969|7.5
WT7X116.5|116.5|116.5|34.2|8.02|15.9|1.07|1.72|2.32|1.65|1.08|116|38.2|18.2|1.84|576|110|72.5|4.1|29.6|154|4.57|0.97|7.5
